section,words,nums
101,Japan,8382
101,Tokyo,2733
101,COVID,1877
101,Japanese,1694
101,new,1687
101,government,1275
101,cases,1244
101,Kishida,1165
101,coronavirus,1082
101,US,1074
101,China,1029
101,people,963
101,amid,777
101,minister,735
101,Minister,642
101,Korea,641
101,Abe,625
101,pandemic,619
101,South,613
101,LDP,610
101,country,564
101,foreign,548
101,number,541
101,time,523
101,defense,517
101,virus,508
101,Suga,483
101,nuclear,472
101,Prefecture,458
101,Fukushima,441
101,million,436
101,Prime,426
101,visit,425
101,support,419
101,health,416
101,security,411
101,found,402
101,due,401
101,ties,393
101,Osaka,392
101,infections,392
101,public,391
101,Olympics,389
101,plan,387
101,prime,386
101,countries,380
101,emergency,377
101,former,369
101,expected,360
101,Ukraine,353
101,election,351
101,top,350
101,month,350
101,state,350
101,reports,347
101,police,342
101,man,341
101,record,338
101,North,337
101,House,335
101,party,335
101,measures,332
101,next,332
101,high,328
101,system,324
101,military,322
101,including,322
101,Russia,320
101,court,320
101,capital,320
101,survey,318
101,ruling,317
101,local,317
101,meeting,314
101,tracker,312
101,children,310
101,work,309
101,members,309
101,use,308
101,group,308
101,home,308
101,vaccine,305
101,move,302
101,residents,300
101,Chinese,298
101,summit,296
101,ministry,296
101,city,295
101,held,295
101,water,295
101,Cabinet,293
101,plans,289
101,Okinawa,287
101,arrested,286
101,law,285
101,help,283
101,Taiwan,280
101,officials,276
101,women,274
101,patients,273
101,Korean,268
101,concerns,266
101,opposition,264
101,earlier,264
101,yearold,262
101,policy,261
101,Olympic,258
101,likely,256
101,students,255
101,political,254
101,end,254
101,came,253
101,school,253
101,areas,250
101,death,250
101,reported,249
101,travel,248
101,Foreign,246
101,near,245
101,report,241
101,media,239
101,chief,239
101,New,238
101,world,236
101,leaders,236
101,official,234
101,care,232
101,spread,232
101,Fumio,232
101,issues,231
101,issue,231
101,early,230
101,change,230
101,scandal,229
101,hit,229
101,leader,228
101,April,227
101,total,225
101,Hiroshima,224
101,cooperation,222
101,hold,220
101,according,220
101,nation,219
101,decision,218
101,case,216
101,Hokkaido,216
101,prefectures,215
101,days,214
101,confirmed,213
101,ahead,213
101,medical,211
101,experts,210
101,quake,210
101,power,208
101,social,206
101,March,206
101,face,206
101,workers,205
101,across,205
101,need,204
101,part,201
101,Ministry,200
101,test,200
101,sources,199
101,major,199
101,growing,198
101,panel,197
101,average,195
101,response,194
101,family,194
101,Games,193
101,following,193
101,region,193
101,fiscal,191
101,online,190
101,efforts,190
101,outbreak,188
101,release,187
101,rise,187
101,ban,186
101,Police,185
101,calls,184
101,daily,184
101,economic,184
101,international,184
101,Biden,184
101,disaster,183
101,deaths,181
101,ua,181
101,program,180
101,rules,180
101,schools,179
101,Shinzo,179
101,Agency,178
101,plant,178
101,start,178
101,four,177
101,lawmakers,175
101,key,175
101,five,175
101,business,174
101,increase,174
101,recent,173
101,without,173
101,months,173
101,seen,173
101,bill,172
101,whether,172
101,continue,168
101,funds,167
101,aims,167
101,area,167
101,woman,166
101,data,166
101,billion,166
101,th,165
101,victims,165
101,despite,165
101,member,163
101,remain,163
101,nations,163
101,agency,162
101,war,162
101,low,161
101,poll,161
101,Government,161
101,child,161
101,central,161
101,Beijing,160
101,President,160
101,Defense,159
101,safety,159
101,close,158
101,shows,157
101,event,157
101,become,157
101,nationwide,156
101,rate,155
101,well,154
101,return,154
101,boost,154
101,previous,153
101,World,153
101,approval,152
101,toward,152
101,July,152
101,national,151
101,lawmaker,151
101,Lower,150
101,joint,150
101,University,149
101,making,149
101,prefecture,149
101,attack,149
101,Party,148
101,surge,148
101,ship,147
101,possible,147
101,earthquake,147
101,place,147
101,sexual,146
101,suspected,146
101,labor,146
101,parties,145
101,Kyoto,145
101,launch,144
101,restrictions,143
101,faces,142
101,using,142
101,global,142
101,president,141
101,aid,141
101,Russian,141
101,office,140
101,Court,140
101,UN,140
101,sevenday,139
101,hospital,137
101,past,137
101,status,136
101,already,136
101,late,135
101,abuse,135
101,Unification,135
101,Democratic,134
101,told,134
101,within,134
101,figure,134
101,age,133
101,United,133
101,authorities,133
101,meet,133
101,East,133
101,seek,132
101,allow,132
101,call,132
101,put,132
101,pay,132
101,order,132
101,suspect,132
101,June,132
101,Myanmar,132
101,least,131
101,took,131
101,focus,130
101,company,130
101,drug,129
101,hopes,129
101,Princess,129
101,left,129
101,wave,129
101,events,128
101,young,128
101,tests,128
101,six,128
101,ministers,128
101,open,128
101,behind,128
101,Church,128
101,trip,127
101,staff,127
101,eyes,127
101,remains,127
101,given,126
101,taking,126
101,team,126
101,campaign,126
101,budget,126
101,summer,125
101,SDF,125
101,food,125
101,risk,125
101,offer,125
101,men,125
101,future,125
101,train,125
101,masks,125
101,third,124
101,industry,124
101,others,124
101,visitors,124
101,parents,123
101,study,123
101,seeks,123
101,facilities,123
101,missile,122
101,another,122
101,working,122
101,crisis,122
101,news,122
101,logs,122
101,services,121
101,keep,121
101,planned,121
101,life,121
101,shots,121
101,race,120
101,murder,120
101,bid,120
101,head,120
101,Former,119
101,prevent,119
101,island,119
101,leave,119
101,islands,119
101,considering,118
101,IndoPacific,118
101,concern,118
101,firms,117
101,begin,117
101,infection,117
101,free,117
101,called,116
101,development,116
101,deal,116
101,firm,116
101,agreed,116
101,nationals,116
101,level,116
101,taken,115
101,companies,115
101,States,115
101,died,115
101,term,114
101,later,114
101,showed,114
101,current,114
101,stay,114
101,fall,114
101,information,114
101,latest,113
101,looks,113
101,alleged,112
101,leadership,112
101,omicron,111
101,wartime,110
101,testing,110
101,travelers,110
101,continues,110
101,show,109
101,dead,108
101,spending,108
101,saying,108
101,vaccines,108
101,bilateral,107
101,envoy,107
101,governments,107
101,role,107
101,believed,107
101,female,106
101,September,106
101,population,106
101,base,106
101,domestic,106
101,steps,106
101,rights,106
101,received,106
101,push,106
101,aircraft,105
101,treatment,105
101,research,105
101,allegedly,105
101,Emperor,105
101,Australia,105
101,waters,105
101,situation,105
101,fears,105
101,hours,104
101,body,104
101,straight,104
101,period,104
101,host,104
101,games,104
101,control,103
101,overseas,103
101,service,103
101,funeral,103
101,Upper,103
101,Asia,103
101,positive,103
101,criticism,102
101,strong,102
101,August,102
101,known,102
101,involving,102
101,far,102
101,Koike,101
101,large,101
101,related,101
101,vows,101
101,provide,101
102,US,5287
102,Trump,3495
102,President,1851
102,Russia,1705
102,Ukraine,1621
102,Donald,1438
102,Russian,1209
102,new,1198
102,people,1114
102,Biden,943
102,war,939
102,China,856
102,House,764
102,world,760
102,government,759
102,military,736
102,COVID,734
102,climate,728
102,election,724
102,Putin,720
102,United,714
102,Iran,670
102,officials,665
102,country,640
102,president,574
102,Israel,551
102,former,546
102,leader,546
102,killed,524
102,UK,521
102,States,518
102,attack,516
102,nuclear,515
102,deal,507
102,coronavirus,500
102,forces,489
102,Britain,482
102,according,476
102,New,476
102,global,471
102,White,471
102,police,469
102,UN,466
102,security,453
102,state,452
102,State,449
102,change,445
102,European,436
102,Brexit,430
102,Syria,429
102,power,428
102,campaign,425
102,Europe,422
102,time,421
102,top,420
102,city,413
102,Gaza,409
102,Minister,408
102,countries,403
102,million,403
102,report,398
102,Moscow,383
102,group,380
102,next,375
102,official,371
102,EU,370
102,least,367
102,British,362
102,presidential,362
102,health,356
102,leaders,355
102,political,355
102,death,353
102,administration,352
102,including,348
102,border,343
102,Republican,340
102,Washington,339
102,days,338
102,media,337
102,amid,335
102,Islamic,335
102,Prime,334
102,court,333
102,study,333
102,help,332
102,pandemic,328
102,plan,323
102,attacks,323
102,chief,322
102,South,321
102,aid,319
102,Ukrainian,312
102,end,311
102,found,311
102,allies,309
102,minister,308
102,crisis,307
102,Johnson,307
102,Democrats,307
102,months,306
102,plans,306
102,risk,305
102,Saudi,304
102,across,302
102,vaccine,302
102,reported,297
102,support,293
102,likely,288
102,American,283
102,Syrian,283
102,women,280
102,major,279
102,Union,277
102,fight,276
102,month,275
102,rights,275
102,weapons,273
102,party,273
102,Senate,273
102,near,272
102,probe,272
102,sanctions,269
102,move,262
102,public,262
102,Democratic,262
102,troops,261
102,World,259
102,face,256
102,Chinese,256
102,vote,256
102,scientists,255
102,region,253
102,home,252
102,defense,251
102,experts,251
102,opposition,251
102,NATO,251
102,Joe,250
102,foreign,250
102,Congress,249
102,use,246
102,Court,240
102,North,240
102,whether,237
102,called,237
102,despite,237
102,ahead,236
102,trial,236
102,Germany,236
102,part,236
102,children,235
102,policy,234
102,nations,234
102,thousands,232
102,case,232
102,Turkey,231
102,oil,231
102,summit,230
102,national,229
102,key,229
102,York,227
102,authorities,226
102,agency,225
102,law,224
102,violence,224
102,migrants,224
102,threat,223
102,India,221
102,told,220
102,seen,219
102,lawmakers,219
102,without,218
102,man,218
102,missile,217
102,Kyiv,216
102,protests,216
102,cases,216
102,Department,216
102,France,214
102,ago,213
102,Israeli,213
102,calls,211
102,saying,211
102,invasion,210
102,become,210
102,sources,208
102,air,208
102,early,207
102,human,207
102,hit,207
102,faces,207
102,Boris,207
102,control,206
102,far,206
102,weeks,204
102,economic,202
102,Supreme,200
102,West,198
102,pressure,198
102,Republicans,198
102,fighting,197
102,efforts,196
102,accused,196
102,life,196
102,killing,196
102,growing,195
102,international,193
102,possible,192
102,Hamas,192
102,office,191
102,system,190
102,Vladimir,189
102,Americans,189
102,states,189
102,capital,189
102,virus,189
102,bid,188
102,federal,187
102,Korea,186
102,latest,186
102,Theresa,186
102,elections,185
102,Canada,185
102,conflict,184
102,billion,183
102,intelligence,183
102,warned,183
102,race,183
102,future,182
102,another,181
102,senior,180
102,ties,180
102,Robert,180
102,social,180
102,Africa,180
102,California,180
102,fire,180
102,work,179
102,trade,179
102,groups,179
102,French,179
102,force,179
102,show,178
102,push,178
102,Kremlin,178
102,investigation,178
102,dead,177
102,legal,177
102,ban,177
102,shot,177
102,visit,176
102,left,176
102,four,176
102,Mexico,176
102,Mueller,176
102,gas,175
102,energy,174
102,deadly,174
102,news,173
102,shows,173
102,meeting,171
102,data,171
102,past,171
102,Brazil,171
102,test,171
102,response,170
102,high,170
102,keep,169
102,food,169
102,eastern,167
102,America,167
102,Italy,167
102,claims,166
102,put,166
102,five,165
102,action,165
102,members,164
102,concerns,164
102,WHO,163
102,expected,162
102,step,162
102,call,162
102,Iranian,162
102,several,162
102,mass,162
102,toward,162
102,special,162
102,battle,161
102,London,161
102,water,161
102,biggest,161
102,warns,160
102,following,160
102,lawyer,160
102,adviser,159
102,decision,158
102,behind,158
102,win,158
102,tensions,157
102,Western,157
102,reports,156
102,seeks,156
102,due,156
102,nearly,156
102,already,156
102,judge,156
102,emergency,155
102,record,155
102,yearold,155
102,recent,154
102,Scientists,154
102,potential,153
102,strike,153
102,held,153
102,evidence,153
102,close,153
102,yet,153
102,warming,153
102,nation,152
102,economy,152
102,spread,152
102,Macron,151
102,Nations,151
102,prime,151
102,charges,150
102,hold,150
102,decades,150
102,impeachment,150
102,return,149
102,voters,149
102,African,149
102,Taliban,149
102,vaccines,149
102,order,148
102,role,148
102,took,147
102,toll,147
102,deaths,146
102,died,146
102,Yemen,146
102,Pentagon,145
102,Secretary,145
102,Party,145
102,FBI,144
102,army,144
102,number,144
102,area,143
102,town,142
102,immigration,142
102,bill,142
102,six,142
102,Sea,142
102,came,141
102,risks,141
102,Florida,141
102,Afghanistan,141
102,strikes,140
102,Arabia,139
102,fears,139
102,rising,139
102,largest,139
102,German,139
102,emissions,138
102,residents,137
102,need,137
102,shooting,137
102,rise,136
102,coalition,136
102,seeking,136
102,heat,136
102,Zelenskyy,135
102,arms,135
102,third,135
102,stop,135
102,head,135
102,civilians,134
102,trying,133
102,seek,133
102,disease,133
102,much,133
102,missiles,133
102,run,132
102,away,132
102,source,132
102,Xi,131
102,southern,131
102,cities,131
102,remain,131
102,might,131
102,lead,130
102,access,130
102,finds,130
102,released,130
102,counsel,130
102,threats,129
102,ruling,129
102,arrested,129
102,militants,129
102,Beijing,128
102,effort,128
102,Paris,128
102,tax,128
102,front,127
102,began,127
102,start,127
102,peace,126
102,documents,126
102,leave,126
102,workers,126
102,space,125
102,hundreds,125
102,East,125
102,research,125
102,debate,124
102,team,124
102,drug,124
102,questions,123
102,assault,123
102,making,123
102,Iraq,123
102,general,122
102,within,122
102,meet,122
102,others,122
102,offensive,121
102,fear,121
102,cut,121
102,less,121
102,candidate,121
102,Justice,121
102,Japan,121
102,earlier,120
102,National,120
102,outbreak,120
102,Michael,119
102,warning,119
102,War,119
102,victory,119
102,family,119
102,northern,118
102,Canadian,118
102,small,118
102,using,118
102,Parliament,117
102,almost,117
102,local,117
102,Texas,117
102,Climate,117
102,gun,117
102,hours,116
102,protect,116
102,outside,116
102,Venezuela,116
102,main,115
102,known,115
102,travel,115
102,open,115
102,well,115
102,companies,115
102,little,115
102,release,114
102,strategy,114
102,worst,114
102,soldiers,113
102,issue,113
102,sea,113
102,suspected,113
102,company,113
102,Libya,113
102,ground,112
102,right,112
102,woman,112
102,safety,112
102,researchers,112
102,ever,112
102,rules,112
102,remains,111
102,challenge,111
102,wave,110
102,Russians,110
102,history,110
102,levels,110
102,protest,110
102,prison,110
102,give,110
102,variant,110
102,alleged,109
102,late,109
102,Health,109
102,soon,108
102,fuel,108
102,charged,108
102,showed,108
102,millions,108
102,business,108
102,coast,108
102,kill,107
102,Former,107
102,information,107
102,large,106
102,poll,106
102,agreement,106
102,plant,106
102,fighters,106
102,Pakistan,106
102,calling,106
102,failed,105
102,rule,105
102,spy,105
102,takes,105
102,taken,105
102,Taiwan,105
102,line,104
102,Netanyahu,104
102,protesters,104
102,tests,104
102,avoid,104
102,hospital,104
102,civil,104
102,wants,103
102,taking,103
102,Afghan,103
102,areas,103
102,Turkish,103
102,panel,103
102,seven,102
102,offer,102
102,center,102
102,program,102
102,boost,102
102,urged,102
102,journalist,102
102,Merkel,102
102,half,101
102,patients,101
102,base,101
102,Black,101
103,China,6391
103,Korea,3566
103,US,3410
103,North,3372
103,South,2950
103,Chinese,1922
103,Korean,1580
103,Taiwan,1407
103,Hong,1360
103,Kong,1342
103,military,1319
103,Beijing,1292
103,new,1250
103,country,1130
103,President,1051
103,Kim,1020
103,leader,1012
103,Sea,939
103,nuclear,875
103,Trump,816
103,government,810
103,Xi,744
103,people,700
103,United,698
103,Myanmar,679
103,India,675
103,Jong,627
103,COVID,626
103,officials,613
103,coronavirus,592
103,media,589
103,security,588
103,Un,575
103,state,572
103,missile,565
103,States,558
103,city,548
103,official,527
103,world,526
103,amid,526
103,top,522
103,Australia,509
103,Pyongyang,505
103,New,497
103,police,454
103,reported,448
103,Philippines,447
103,island,425
103,test,416
103,Asia,406
103,Japan,405
103,Minister,402
103,war,401
103,summit,401
103,election,398
103,Donald,391
103,former,385
103,defense,383
103,time,377
103,next,374
103,report,373
103,month,371
103,foreign,369
103,Washington,368
103,ties,367
103,visit,364
103,tensions,364
103,power,352
103,UN,346
103,minister,345
103,rights,342
103,sanctions,341
103,cases,336
103,chief,331
103,disputed,330
103,Philippine,329
103,party,326
103,region,325
103,Seoul,324
103,weapons,324
103,Party,318
103,countries,318
103,president,316
103,Jinping,316
103,law,314
103,days,312
103,Thailand,312
103,political,310
103,move,306
103,leaders,303
103,Australian,301
103,Indonesia,299
103,Prime,296
103,Singapore,294
103,months,294
103,protests,290
103,latest,289
103,national,287
103,group,285
103,according,285
103,authorities,283
103,near,283
103,meeting,283
103,million,277
103,ahead,274
103,economic,269
103,Malaysia,269
103,nation,268
103,Thai,264
103,Asian,263
103,ruling,261
103,State,258
103,Vietnam,255
103,including,254
103,Duterte,250
103,court,245
103,international,244
103,public,240
103,global,239
103,Pacific,238
103,end,237
103,protesters,237
103,Indian,237
103,missiles,235
103,air,235
103,killed,234
103,outbreak,233
103,Biden,233
103,border,233
103,Communist,232
103,growing,232
103,part,231
103,likely,231
103,plans,230
103,virus,230
103,help,229
103,health,220
103,key,219
103,Russia,219
103,drills,218
103,home,218
103,agency,216
103,opposition,214
103,recent,214
103,policy,214
103,crisis,213
103,women,213
103,face,213
103,force,212
103,pandemic,211
103,senior,210
103,trade,207
103,across,206
103,pressure,206
103,called,205
103,joint,203
103,threat,203
103,major,201
103,Pakistan,201
103,deal,200
103,case,198
103,economy,198
103,system,197
103,experts,197
103,program,197
103,aircraft,197
103,human,196
103,forces,194
103,plan,194
103,Rohingya,192
103,news,192
103,calls,192
103,least,192
103,efforts,191
103,Zealand,191
103,show,190
103,work,190
103,Southeast,189
103,man,189
103,change,188
103,found,187
103,death,187
103,billion,187
103,capital,183
103,four,183
103,attack,182
103,diplomatic,182
103,reports,180
103,crackdown,180
103,Moon,180
103,push,178
103,protest,176
103,claims,176
103,climate,174
103,biggest,174
103,democracy,174
103,five,173
103,held,170
103,use,170
103,despite,170
103,warns,169
103,weeks,169
103,Navy,169
103,waters,168
103,campaign,167
103,tests,167
103,another,167
103,support,167
103,Secretary,166
103,sources,166
103,American,166
103,meet,165
103,Defense,165
103,concerns,165
103,largest,165
103,local,165
103,ballistic,164
103,thousands,163
103,launch,163
103,seeks,163
103,diplomat,163
103,presidential,163
103,nations,162
103,office,161
103,activists,161
103,saying,161
103,told,161
103,hold,160
103,become,160
103,expected,159
103,following,158
103,accused,156
103,return,156
103,seen,155
103,bid,153
103,Ministry,152
103,rare,151
103,workers,151
103,shows,151
103,toward,151
103,carrier,149
103,control,148
103,exercises,147
103,faces,147
103,Modi,146
103,decades,146
103,coast,144
103,troops,144
103,prodemocracy,144
103,Nations,144
103,Rodrigo,144
103,hit,143
103,prime,143
103,islands,142
103,early,142
103,warned,141
103,allies,141
103,risk,140
103,ban,139
103,social,139
103,Xinjiang,139
103,junta,138
103,fight,138
103,response,136
103,warning,135
103,number,135
103,close,135
103,southern,134
103,family,134
103,Indonesian,134
103,corruption,134
103,Ukraine,133
103,nearly,133
103,arms,133
103,envoy,133
103,administration,132
103,ago,132
103,children,132
103,away,131
103,financial,131
103,boost,131
103,vaccine,131
103,building,130
103,record,130
103,site,129
103,life,129
103,six,129
103,seek,129
103,online,128
103,groups,128
103,taking,127
103,past,127
103,possible,127
103,Foreign,127
103,anniversary,126
103,Bangladesh,125
103,members,125
103,deadly,125
103,powerful,125
103,third,125
103,space,125
103,sent,124
103,earlier,124
103,residents,123
103,Taipei,123
103,data,123
103,relations,123
103,sea,123
103,House,123
103,missing,123
103,launches,122
103,much,122
103,far,122
103,army,120
103,rising,120
103,future,120
103,call,120
103,rise,120
103,spy,119
103,Manila,119
103,yet,119
103,yearold,119
103,water,118
103,late,118
103,Park,118
103,open,117
103,wave,117
103,rule,117
103,role,117
103,Malaysian,117
103,left,116
103,announced,116
103,satellite,116
103,outside,115
103,coup,115
103,fires,115
103,population,115
103,Suu,115
103,Kyi,115
103,detained,115
103,trip,115
103,elections,115
103,arrested,115
103,fears,115
103,put,115
103,parliament,114
103,challenge,114
103,peace,114
103,newspaper,114
103,head,113
103,high,112
103,seeking,112
103,spread,112
103,issues,112
103,several,112
103,naval,112
103,rules,112
103,staterun,112
103,hundreds,111
103,maritime,111
103,making,111
103,regional,111
103,potential,110
103,without,110
103,fire,109
103,term,109
103,due,109
103,within,109
103,dead,108
103,decision,108
103,using,107
103,moves,107
103,influence,107
103,East,106
103,intelligence,106
103,vote,106
103,area,106
103,Wuhan,106
103,action,105
103,took,105
103,strategic,105
103,probe,105
103,attacks,105
103,ship,105
103,Air,105
103,Taiwanese,104
103,fighter,104
103,freedom,104
103,denuclearization,104
103,food,103
103,build,103
103,leadership,103
103,infections,103
103,Pompeo,103
103,Mike,103
103,violence,102
103,aimed,102
103,Koreans,102
103,increasingly,102
103,small,102
103,prison,102
103,whether,102
103,came,101
103,worst,101
103,battle,101
103,lockdown,101
